COMMUNITY_ABRV,COMMUNITY_FULL,TOTAL_POP,GLOBALID,Shape_Length,Shape_Area,DA_AREA_m2
EAG,EAGLE RIDGE,260,5601fa96-2a2d-40f5-8f5f-605b8a4da5a5,3885.869876,376448.2605,376448.2605
SHI,SHEPARD INDUSTRIAL,265,185022ca-4853-4aa2-846e-b275e9b5b334,9577.149783,4197547.487,4197547.487
MAF,MAYFAIR,410,4356f06c-8202-459c-b2b5-5ad78c1e2512,2347.206899,289560.1791,289560.1791
SSW,SCARBORO/ SUNALTA WEST,465,1e314d53-d00d-40e2-95be-323d66b914a8,2627.378367,354719.3273,354719.3273
ROX,ROXBORO,415,cf6c6ca1-2f05-48f8-985a-f8f8db206d22,2344.763162,272028.996,272028.996
KEL,KELVIN GROVE,1805,6b8f1dc7-7bef-451a-abb2-320d491614dc,3473.767448,770446.8489,770446.8489
RMT,ROSEMONT,1155,829a6d9b-4f6f-48bb-9d83-b677d8cd4987,2806.803058,449321.4716,449321.4716
QPK,QUEENS PARK VILLAGE,375,1a091f50-f984-4faa-b11a-71df83dfd516,3369.012564,619217.6003,619217.6003
HIW,HIGHWOOD,2205,2336d129-8923-456a-a633-2f93035e78d5,4076.0136,950123.5413,950123.5413
ERL,ERLTON,1280,36297367-1738-4933-b16b-8a5ded6ebb2b,4066.763234,505794.6727,505794.6727
CAR,CARRINGTON,2750,6c5cd31d-be43-43ed-bef2-056c3bd3ff8b,5464.128327,1667316.625,1667316.625
NOL,NOLAN HILL,8755,13f7abd4-f533-4b60-87d4-d1918d8998d6,5923.292868,2046928.945,2046928.945
TUX,TUXEDO PARK,5165,6cb7be3c-b71b-463c-892d-315186113496,4949.301957,1328974.191,1328974.191
BLM,BELMONT,800,06f75d97-c0b6-49f7-8df2-3b2128537ad4,9929.867144,2846028.459,2846028.459
MAN,MANCHESTER,950,cf9b8a9e-4716-4e21-adc0-aadf57e86004,4014.990523,473726.2117,473726.2117
EVN,EVANSTON,18710,fb540535-e939-4ec6-833c-954497294465,10876.95715,4883197.21,4883197.21
SHW,SHERWOOD,6520,5cdea883-8035-409b-81e9-1d0b2cbc2fc1,6470.969595,2394215.477,2394215.477
SKR,SKYVIEW RANCH,12870,34bd0860-9841-4669-a5fc-8d8d05285a42,7321.651578,2311293.693,2311293.693
WAL,WALDEN,7650,942dfaab-6089-4830-a3df-37e1b670ace1,8223.979772,2461056.443,2461056.443
LIV,LIVINGSTON,3985,afcf8025-de48-460d-944c-72c7bcffaaa6,6808.258437,1709303.839,1709303.839
COR,CORAL SPRINGS,5610,7873f3fb-0286-433e-bb5b-b58495529e75,5447.442222,1818208.083,1818208.083
SSD,SUNNYSIDE,4000,2492590a-00eb-4ca8-98e5-cfe6bd71bbe4,5848.90216,1022924.146,1022924.146
CIT,CITADEL,10180,8659c3a7-14b2-4288-9c18-a2628a3d4d90,7845.5305,2733788.659,2733788.659
BLN,BELTLINE,25880,6d81c0ac-1744-4c99-84f3-d3d9de67f4a1,9836.420306,2943544.65,2943544.65
MCK,MCKENZIE LAKE,13290,bcb69cb8-7109-4acc-b0c7-1121dfafaa9b,11212.65989,5067841.287,5067841.287
CGR,COUGAR RIDGE,7150,5d3ae7d1-40d0-47f0-97f2-32c4e571a76f,8144.540499,2263147.273,2263147.273
REN,RENFREW,6580,e1b255c4-6fad-4382-9a59-25c56e9554fd,7959.034384,2658331.712,2658331.712
CRE,CRESCENT HEIGHTS,6240,90e7c419-d040-4296-a432-8ed68b192ea7,5783.227509,1619077.43,1619077.43
TAR,TARADALE,17630,e8ee4853-0aff-4ea5-8b71-005d6f37f0ca,6848.18855,2845388.401,2845388.401
CAS,CASTLERIDGE,6130,85bfaccc-a7ac-4aa4-8ec9-72837dd219a1,4571.943812,1212764.927,1212764.927
