ATTRIBUTE,CATEGORY,VALUE,VALUE_LABEL,AREA_TYPE,AREA_ID,CEI_RANKING,DATA_CURRENCY,SHAPE_LENGTH,SHAPE_AREA
Median Income,Demographic,54556.2464,"$54,556",CSA,1.NW,1,2021,14551.0351,8140474.64
Median Income,Demographic,45494.1263,"$45,494",CSA,10.NW,2,2021,8628.902439,3798148.739
Median Income,Demographic,48861.1278,"$48,861",CSA,100.SW,2,2021,14812.44165,5702282.127
Median Income,Demographic,38109.9707,"$38,110",CSA,103.SW,3,2021,10426.90247,4233045.447
Median Income,Demographic,43746.0741,"$43,746",CSA,104.SW,3,2021,9476.524999,4032320.635
Median Income,Demographic,51083.5685,"$51,084",CSA,101.SW,2,2021,14026.25456,5118450.811
Median Income,Demographic,39389.4019,"$39,389",CSA,105.SW,3,2021,8005.707839,3779256.612
Median Income,Demographic,41748.0942,"$41,748",CSA,14.NW,3,2021,8448.63968,3711346.827
Median Income,Demographic,48425.9223,"$48,426",CSA,102.SW,2,2021,21651.92311,11697734.32
Median Income,Demographic,29649.0941,"$29,649",CSA,48.NE,4,2021,6476.294254,2634571.894
Median Income,Demographic,48594.5952,"$48,595",CSA,106.SW,2,2021,9130.028821,4130053.446
Median Income,Demographic,45178.1216,"$45,178",CSA,107.SW,2,2021,13318.51304,7314924.985
Median Income,Demographic,50967.2525,"$50,967",CSA,108.SW,2,2021,16286.11902,6014756.037
Median Income,Demographic,45152.8253,"$45,153",CSA,109.SW,3,2021,24530.83751,23187357.26
Median Income,Demographic,45039.9891,"$45,040",CSA,11.NW,3,2021,8756.028065,3027758.403
Median Income,Demographic,43492.5214,"$43,493",CSA,110.SW,3,2021,7282.91563,2021080.234
Median Income,Demographic,43136.8088,"$43,137",CSA,111.SW,3,2021,8930.762088,2790214.764
Median Income,Demographic,42129.7723,"$42,130",CSA,112.SW,3,2021,10234.58488,3091826.741
Median Income,Demographic,45653,"$45,653",CSA,113.SW,2,2021,17937.11658,12103818.84
Median Income,Demographic,32586.58,"$32,587",CSA,49.NE,4,2021,6503.162952,2639646.633
Median Income,Demographic,42260.3747,"$42,260",CSA,12.NW,3,2021,11353.70449,3356595.095
Median Income,Demographic,45127.0672,"$45,127",CSA,13.NW,3,2021,11801.1128,4792111.209
Median Income,Demographic,45595.4518,"$45,595",CSA,15.NW,2,2021,20148.78768,14901304.12
Median Income,Demographic,37499.6168,"$37,500",CSA,16.NW,4,2021,11245.98538,3838023.47
Median Income,Demographic,37073.4484,"$37,073",CSA,17.NW,4,2021,6812.178257,2258609.372
Median Income,Demographic,42198.4903,"$42,198",CSA,18.NW,3,2021,7796.520588,3274102.249
Median Income,Demographic,30877.4231,"$30,877",CSA,52.NE,4,2021,6480.937942,2625601.854
Median Income,Demographic,37149.05,"$37,149",CSA,19.NW,4,2021,7693.732072,3321890.399
Median Income,Demographic,50176,"$50,176",CSA,2.NW,2,2021,18909.00635,17235688.94
Median Income,Demographic,46715.406,"$46,715",CSA,20.NW,2,2021,10757.71377,3798106.198
Median Income,Demographic,45796.7859,"$45,797",CSA,21.NW,2,2021,11156.85256,5265414.459
Median Income,Demographic,56326.2625,"$56,326",CSA,22.NW,1,2021,7764.822422,2789757.083
Median Income,Demographic,67474.1934,"$67,474",CSA,23.NW,1,2021,13790.00437,6540233.289
Median Income,Demographic,36711.1924,"$36,711",CSA,29.NW,4,2021,7645.435008,3060687.26
Median Income,Demographic,50302.9788,"$50,303",CSA,24.NW,2,2021,11287.64084,4536355.604
Median Income,Demographic,61030,"$61,030",CSA,25.NW,1,2021,10721.73354,5927109.815
Median Income,Demographic,49449.7815,"$49,450",CSA,27.NW,2,2021,12931.99234,7230575.133
Median Income,Demographic,36845.0526,"$36,845",CSA,26.NW,4,2021,13164.88902,7121612.792
Median Income,Demographic,45340.2598,"$45,340",CSA,28.NW,2,2021,14679.51796,5168031.996
Median Income,Demographic,49626.3259,"$49,626",CSA,3.NW,2,2021,19029.57465,5394843.998
Median Income,Demographic,34429.4488,"$34,429",CSA,30.NW,4,2021,9593.440432,4824870.953
Median Income,Demographic,55731.9825,"$55,732",CSA,31.NW,1,2021,11480.21212,5002022.114
Median Income,Demographic,52195.5305,"$52,196",CSA,32.NW,1,2021,10034.4444,4416935.882
Median Income,Demographic,28107,"$28,107",CSA,45.NE,4,2021,4836.311319,1238520.585
Median Income,Demographic,43213.1429,"$43,213",CSA,35.NE,3,2021,8507.404677,3057575.391
Median Income,Demographic,46281.3063,"$46,281",CSA,33.NE,2,2021,13225.59229,7037020.078
Median Income,Demographic,30893.2787,"$30,893",CSA,47.NE,4,2021,7592.431121,3365519.667
Median Income,Demographic,38164.2314,"$38,164",CSA,34.NE,3,2021,39970.86042,42254559.65
Median Income,Demographic,42420.7614,"$42,421",CSA,36.NE,3,2021,12800.64665,6821974.833
Median Income,Demographic,36402.0777,"$36,402",CSA,37.NE,4,2021,10121.48199,3527334.323
Median Income,Demographic,36514.4207,"$36,514",CSA,38.NE,4,2021,8385.183673,3395726.695
Median Income,Demographic,44145.6286,"$44,146",CSA,39.NE,3,2021,8533.462542,3845446.48
