ATTRIBUTE,CATEGORY,VALUE,VALUE_LABEL,AREA_TYPE,AREA_ID,CEI_RANKING,DATA_CURRENCY,TARGET_FID,NEAR_FID,NEAR_DIST
Median Income,Demographic,54556.2464,"$54,556",CSA,1.NW,1,2021,1,81,1302.419375
Median Income,Demographic,45494.1263,"$45,494",CSA,10.NW,2,2021,2,15,1855.737956
Median Income,Demographic,48861.1278,"$48,861",CSA,100.SW,2,2021,3,90,3099.692758
Median Income,Demographic,38109.9707,"$38,110",CSA,103.SW,3,2021,4,77,238.7527885
Median Income,Demographic,43746.0741,"$43,746",CSA,104.SW,3,2021,5,42,250.7049532
Median Income,Demographic,51083.5685,"$51,084",CSA,101.SW,2,2021,6,90,986.6721353
Median Income,Demographic,39389.4019,"$39,389",CSA,105.SW,3,2021,7,2,537.9616117
Median Income,Demographic,41748.0942,"$41,748",CSA,14.NW,3,2021,8,78,1169.593916
Median Income,Demographic,48425.9223,"$48,426",CSA,102.SW,2,2021,9,99,1762.195517
Median Income,Demographic,29649.0941,"$29,649",CSA,48.NE,4,2021,10,46,863.891696
Median Income,Demographic,48594.5952,"$48,595",CSA,106.SW,2,2021,11,76,596.0154268
Median Income,Demographic,45178.1216,"$45,178",CSA,107.SW,2,2021,12,24,1760.238558
Median Income,Demographic,50967.2525,"$50,967",CSA,108.SW,2,2021,13,97,1548.569341
Median Income,Demographic,45152.8253,"$45,153",CSA,109.SW,3,2021,14,97,3492.774231
Median Income,Demographic,45039.9891,"$45,040",CSA,11.NW,3,2021,15,45,420.2512087
Median Income,Demographic,43492.5214,"$43,493",CSA,110.SW,3,2021,16,97,520.7547355
Median Income,Demographic,43136.8088,"$43,137",CSA,111.SW,3,2021,17,97,1306.149343
Median Income,Demographic,42129.7723,"$42,130",CSA,112.SW,3,2021,18,89,1620.08498
Median Income,Demographic,45653,"$45,653",CSA,113.SW,2,2021,19,88,747.6868815
Median Income,Demographic,32586.58,"$32,587",CSA,49.NE,4,2021,20,5,862.7501374
Median Income,Demographic,42260.3747,"$42,260",CSA,12.NW,3,2021,21,55,1329.202116
Median Income,Demographic,45127.0672,"$45,127",CSA,13.NW,3,2021,22,45,2642.066017
Median Income,Demographic,45595.4518,"$45,595",CSA,15.NW,2,2021,23,72,3116.705115
Median Income,Demographic,37499.6168,"$37,500",CSA,16.NW,4,2021,24,101,3394.216537
Median Income,Demographic,37073.4484,"$37,073",CSA,17.NW,4,2021,25,59,2357.495404
Median Income,Demographic,42198.4903,"$42,198",CSA,18.NW,3,2021,26,39,774.3115935
Median Income,Demographic,30877.4231,"$30,877",CSA,52.NE,4,2021,27,5,752.6493492
Median Income,Demographic,37149.05,"$37,149",CSA,19.NW,4,2021,28,55,1126.896894
Median Income,Demographic,50176,"$50,176",CSA,2.NW,2,2021,29,15,1602.645161
Median Income,Demographic,46715.406,"$46,715",CSA,20.NW,2,2021,30,34,684.9099931
Median Income,Demographic,45796.7859,"$45,797",CSA,21.NW,2,2021,31,65,798.190155
Median Income,Demographic,56326.2625,"$56,326",CSA,22.NW,1,2021,32,18,1901.182154
Median Income,Demographic,67474.1934,"$67,474",CSA,23.NW,1,2021,33,107,2288.385251
Median Income,Demographic,36711.1924,"$36,711",CSA,29.NW,4,2021,34,35,396.979058
Median Income,Demographic,50302.9788,"$50,303",CSA,24.NW,2,2021,35,69,751.4560314
Median Income,Demographic,61030,"$61,030",CSA,25.NW,1,2021,36,107,392.9771578
Median Income,Demographic,49449.7815,"$49,450",CSA,27.NW,2,2021,37,40,1738.023367
Median Income,Demographic,36845.0526,"$36,845",CSA,26.NW,4,2021,38,87,38.10330071
Median Income,Demographic,45340.2598,"$45,340",CSA,28.NW,2,2021,39,95,610.6852462
Median Income,Demographic,49626.3259,"$49,626",CSA,3.NW,2,2021,40,101,460.0451601
Median Income,Demographic,34429.4488,"$34,429",CSA,30.NW,4,2021,41,22,1246.658473
Median Income,Demographic,55731.9825,"$55,732",CSA,31.NW,1,2021,42,62,607.4364047
Median Income,Demographic,52195.5305,"$52,196",CSA,32.NW,1,2021,43,91,612.5775844
Median Income,Demographic,28107,"$28,107",CSA,45.NE,4,2021,44,3,733.3975339
Median Income,Demographic,43213.1429,"$43,213",CSA,35.NE,3,2021,45,19,1454.316582
Median Income,Demographic,46281.3063,"$46,281",CSA,33.NE,2,2021,46,19,2192.389521
Median Income,Demographic,30893.2787,"$30,893",CSA,47.NE,4,2021,47,63,1263.140999
Median Income,Demographic,38164.2314,"$38,164",CSA,34.NE,3,2021,48,59,3008.69285
Median Income,Demographic,42420.7614,"$42,421",CSA,36.NE,3,2021,49,19,2655.517618
Median Income,Demographic,36402.0777,"$36,402",CSA,37.NE,4,2021,50,59,1184.265104
Median Income,Demographic,36514.4207,"$36,514",CSA,38.NE,4,2021,51,39,758.957919
Median Income,Demographic,44145.6286,"$44,146",CSA,39.NE,3,2021,52,64,848.523435
Median Income,Demographic,53879,"$53,879",CSA,4.NW,1,2021,53,105,856.3831532
Median Income,Demographic,51638.2628,"$51,638",CSA,40.NE,1,2021,54,21,415.0097752
Median Income,Demographic,44160,"$44,160",CSA,41.NE,3,2021,55,93,337.5795571
Median Income,Demographic,30479,"$30,479",CSA,43.NE,4,2021,56,20,346.8571608
Median Income,Demographic,35195,"$35,195",CSA,42.NE,4,2021,57,66,1167.562145
Median Income,Demographic,29711.642,"$29,712",CSA,44.NE,4,2021,58,3,1142.291264
Median Income,Demographic,29627.9245,"$29,628",CSA,46.NE,4,2021,59,63,1539.375339
Median Income,Demographic,44234,"$44,234",CSA,5.NW,3,2021,60,85,249.000368
Median Income,Demographic,31246.5511,"$31,247",CSA,50.NE,4,2021,61,16,1330.078247
Median Income,Demographic,29768.6203,"$29,769",CSA,51.NE,4,2021,62,106,706.0334365
Median Income,Demographic,30931.3141,"$30,931",CSA,53.NE,4,2021,63,9,1247.249177
Median Income,Demographic,33199.4888,"$33,199",CSA,54.NE,4,2021,64,58,1273.528209
