VS_ID,VS_NAME,VS_ADDRESS1,VS_ADDRESS2,CITY,PHONE,COVID-19,RSV,TDAP,PNEUMOCOCCAL,ANTIVIRAL,LATITUDE,LONGITUDE
AB00004419,CURIS RX PHARMACY MAHOGANY,159 MAHOGANY CENTRE SE,,CALGARY,403-299-5808,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.89697308,-113.9348758
AB00000119,LOBLAW PHARMACY #1574,PHARMACY DEPARTMENT,10505 SOUTHPORT RD SW,CALGARY,403-225-6207,COVID-19,RSV,,,NO,50.9621373,-114.0746043
AB00002730,FRESHCO PHARMACY #4291,850 SADDLETOWNE CIR NE,,CALGARY,403-293-1670,COVID-19,,,,NO,51.12375399,-113.9447021
AB00000016,TOWER DRUGS,137-131 9 AVE SW,,CALGARY,403-261-2006,,RSV,TDAP,PNEUMOCOCCAL,NO,51.04446146,-114.0650599
AB00002361,PINERIDGE PHARMACY,7-3250 60 ST NE,,CALGARY,403-568-0095,COVID-19,,,,NO,51.0811271,-113.9463689
AB00002569,SHOPPERS DRUG MART #311,100-815 17 AVE SW,,CALGARY,403-244-9769,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.0377204,-114.0798058
AB00004311,LOBLAW PHARMACY 3730,3428 69 ST NW,,CALGARY,403-288-8352,COVID-19,RSV,,,YES,51.08359465,-114.1872368
AB00002579,MEDICINE SHOPPE PHARMACY 194,2303 4 ST SW,,CALGARY,403-229-3458,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.03231993,-114.0718985
AB00002667,SAFEWAY PHARMACY #8803,399 36 ST NE,,CALGARY,403-235-4510,COVID-19,,,,NO,51.05422436,-113.9849644
AB00004124,CALGARY DRUG MART #03,3130-11 ROYAL VISTA DR NW,,CALGARY,403-800-6646,COVID-19,,TDAP,PNEUMOCOCCAL,NO,51.1500556,-114.2064574
AB00100165,AURA PHARMACY,1129-4058 109 AVE NE,,CALGARY,587-333-0294,,RSV,TDAP,PNEUMOCOCCAL,NO,51.153388,-113.9771074
AB00003292,MEDICINE SHOPPE PHARMACY 389,1152 137 AVE SE,,CALGARY,403-523-0116,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.92835632,-114.0282088
AB00003856,SHOPPERS DRUG MART #2375,700-151 WALDEN GATE SE,,CALGARY,403-254-0382,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.87616522,-114.0366415
AB00003936,SAVE-ON-FOODS PHARMACY #6647,4163 UNIVERSITY AVE NW,,CALGARY,403-282-1234,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07773149,-114.1467589
AB00002075,SHOPPERS DRUG MART #2305,11700 SARCEE TR NW,,CALGARY,403-275-6336,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.15782043,-114.1601808
AB00100254,RUNDLEHORN PHARMACY,150-6927 RUNDLEHORN DR NE,,CALGARY,403-900-1007,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.08120161,-113.9423584
AB00002669,SAFEWAY PHARMACY #8809,1200 37 ST SW,,CALGARY,403-240-3223,COVID-19,RSV,,,NO,51.04428365,-114.1400171
AB00001755,CALGARY CO-OP PHARMACY #20,1000-11595 ROCKYVALLEY DR NW,,CALGARY,403-299-5454,COVID-19,,,,NO,51.14773392,-114.2552101
