VS_ID,VS_NAME,VS_ADDRESS1,VS_ADDRESS2,CITY,PHONE,COVID-19,RSV,TDAP,PNEUMOCOCCAL,ANTIVIRAL,LATITUDE,LONGITUDE,BUFFER_DISTANCE,SUM_POP_CATHCMENT_PIECE,FREQUENCY,VS_PER_1000,SHAPE_LENGTH,SHAPE_AREA
AB00004419,CURIS RX PHARMACY MAHOGANY,159 MAHOGANY CENTRE SE,,CALGARY,403-299-5808,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.89697308,-113.9348758,1000,7652.753217,8,0.130671926,6283.185307,3141592.654
AB00000119,LOBLAW PHARMACY #1574,PHARMACY DEPARTMENT,10505 SOUTHPORT RD SW,CALGARY,403-225-6207,COVID-19,RSV,,,NO,50.9621373,-114.0746043,1000,6824.239489,18,0.146536475,6283.185307,3141592.654
AB00002730,FRESHCO PHARMACY #4291,850 SADDLETOWNE CIR NE,,CALGARY,403-293-1670,COVID-19,,,,NO,51.12375399,-113.9447021,1000,16382.00545,8,0.061042587,6283.185307,3141592.654
AB00000016,TOWER DRUGS,137-131 9 AVE SW,,CALGARY,403-261-2006,,RSV,TDAP,PNEUMOCOCCAL,NO,51.04446146,-114.0650599,1000,23183.9889,65,0.043133216,6283.185307,3141592.654
AB00002361,PINERIDGE PHARMACY,7-3250 60 ST NE,,CALGARY,403-568-0095,COVID-19,,,,NO,51.0811271,-113.9463689,1000,12008.12089,13,0.083276976,6283.185307,3141592.654
AB00002569,SHOPPERS DRUG MART #311,100-815 17 AVE SW,,CALGARY,403-244-9769,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.0377204,-114.0798058,1000,21219.21242,37,0.047127103,6283.185307,3141592.654
AB00004311,LOBLAW PHARMACY 3730,3428 69 ST NW,,CALGARY,403-288-8352,COVID-19,RSV,,,YES,51.08359465,-114.1872368,1000,5022.731843,8,0.199094841,6283.185307,3141592.654
AB00002579,MEDICINE SHOPPE PHARMACY 194,2303 4 ST SW,,CALGARY,403-229-3458,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.03231993,-114.0718985,1000,15196.90766,40,0.065802861,6283.185307,3141592.654
AB00002667,SAFEWAY PHARMACY #8803,399 36 ST NE,,CALGARY,403-235-4510,COVID-19,,,,NO,51.05422436,-113.9849644,1000,5204.831867,9,0.192129165,6283.185307,3141592.654
AB00004124,CALGARY DRUG MART #03,3130-11 ROYAL VISTA DR NW,,CALGARY,403-800-6646,COVID-19,,TDAP,PNEUMOCOCCAL,NO,51.1500556,-114.2064574,1000,4232.363823,15,0.236274584,6283.185307,3141592.654
AB00100165,AURA PHARMACY,1129-4058 109 AVE NE,,CALGARY,587-333-0294,,RSV,TDAP,PNEUMOCOCCAL,NO,51.153388,-113.9771074,1000,2236.786417,5,0.447069954,6283.185307,3141592.654
AB00003292,MEDICINE SHOPPE PHARMACY 389,1152 137 AVE SE,,CALGARY,403-523-0116,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.92835632,-114.0282088,1000,7279.884203,16,0.137364822,6283.185307,3141592.654
AB00003856,SHOPPERS DRUG MART #2375,700-151 WALDEN GATE SE,,CALGARY,403-254-0382,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.87616522,-114.0366415,1000,7102.554105,5,0.140794422,6283.185307,3141592.654
AB00003936,SAVE-ON-FOODS PHARMACY #6647,4163 UNIVERSITY AVE NW,,CALGARY,403-282-1234,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07773149,-114.1467589,1000,3939.102323,17,0.253864946,6283.185307,3141592.654
AB00002075,SHOPPERS DRUG MART #2305,11700 SARCEE TR NW,,CALGARY,403-275-6336,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.15782043,-114.1601808,1000,5521.54837,7,0.181108619,6283.185307,3141592.654
AB00100254,RUNDLEHORN PHARMACY,150-6927 RUNDLEHORN DR NE,,CALGARY,403-900-1007,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.08120161,-113.9423584,1000,11636.75996,11,0.085934573,6283.185307,3141592.654
AB00002669,SAFEWAY PHARMACY #8809,1200 37 ST SW,,CALGARY,403-240-3223,COVID-19,RSV,,,NO,51.04428365,-114.1400171,1000,8861.593999,14,0.112846515,6283.185307,3141592.654
AB00001755,CALGARY CO-OP PHARMACY #20,1000-11595 ROCKYVALLEY DR NW,,CALGARY,403-299-5454,COVID-19,,,,NO,51.14773392,-114.2552101,1000,4934.704819,2,0.202646366,6283.185307,3141592.654
AB00003431,PANORAMA HILLS PHARMACY,28 PANATELLA BLVD NW,,CALGARY,403-460-6707,COVID-19,,TDAP,PNEUMOCOCCAL,NO,51.16547718,-114.0712342,1000,12391.83436,6,0.080698303,6283.185307,3141592.654
AB00003102,SHOPPERS DRUG MART #2403,101-600 SADDLETOWNE CIR NE,,CALGARY,403-568-7143,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.12603735,-113.945173,1000,15596.11474,9,0.064118533,6283.185307,3141592.654
AB00100198,FORME PHARMACY BRIDGELAND,100-736 A AVE NE,,CALGARY,403-930-7905,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.06553698,-114.0475701,1000,7021.562903,35,0.142418435,6283.185307,3141592.654
AB00000734,LONDON DRUGS #33,3630 BRENTWOOD RD NW,,CALGARY,403-289-4512,COVID-19,RSV,,,NO,51.08504957,-114.1236415,1000,5897.367557,19,0.169567182,6283.185307,3141592.654
AB00003878,DRUG + BEAN (KILLARNEY),3114 17 AVE SW,,CALGARY,403-764-7078,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.0394219,-114.1320682,1000,9017.622538,13,0.110893974,6283.185307,3141592.654
AB00002677,SAFEWAY PHARMACY #8827,2525 WOODVIEW DR SW,,CALGARY,403-251-0777,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.94050375,-114.1194262,1000,7435.918533,9,0.134482377,6283.185307,3141592.654
AB00100215,PHARMASAVE CAPITAL HILL,1438 20 AVE NW,,CALGARY,587-318-7073,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07083299,-114.0940711,1000,8959.214635,30,0.111616926,6283.185307,3141592.654
AB00003529,SUPER M DRUGS (2018),216 CENTRE ST SE,,CALGARY,403-233-7788,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.05078516,-114.0624063,1000,16754.34387,81,0.059686014,6283.185307,3141592.654
AB00003849,SHOPPERS DRUG MART #2335,126-40 SUNPARK PLAZA SE,,CALGARY,403-256-3700,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90194494,-114.0568082,1000,7615.041627,21,0.131319046,6283.185307,3141592.654
AB00100348,QUEENSLAND PHARMACY,418-950 QUEENSLAND DR SE,,CALGARY,403-800-9387,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9335468,-114.0171154,1000,7210.822809,20,0.138680429,6283.185307,3141592.654
AB00003872,MEADOWS MILE PHARMACY,110-8500 BLACKFOOT TR SE,,CALGARY,403-253-5700,COVID-19,,TDAP,PNEUMOCOCCAL,NO,50.97661519,-114.046636,1000,5134.507692,9,0.194760639,6283.185307,3141592.654
AB00002904,SHOPPERS DRUG MART #353,1000-150 MILLRISE BLVD SW,,CALGARY,403-256-4630,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.91393121,-114.0714093,1000,8524.377503,19,0.117310619,6283.185307,3141592.654
AB00002686,SAFEWAY PHARMACY #8847,70 SHAWVILLE BLVD SW,,CALGARY,403-256-1202,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90583617,-114.0642826,1000,7869.653244,28,0.127070402,6283.185307,3141592.654
AB00100017,DEER VALLEY PHARMACY,101-83 DEERPOINT RD SE,,CALGARY,587-554-5588,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9268828,-114.0289032,1000,6772.615191,18,0.14765345,6283.185307,3141592.654
AB00003304,SOBEYS PHARMACY #5386,1200-7 MAHOGANY PLAZA SE,,CALGARY,403-726-0063,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.89798895,-113.9414996,1000,9085.023056,15,0.110071267,6283.185307,3141592.654
AB00002917,MELL PHARMACY,771 NORTH MOUNT DR NW,,CALGARY,403-454-5244,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.08260367,-114.0959373,1000,6144.267069,32,0.162753342,6283.185307,3141592.654
AB00000080,CALGARY CO-OP PHARMACY #4,4122 BRENTWOOD RD NW,,CALGARY,403-299-4308,COVID-19,,,,NO,51.08844285,-114.1308792,1000,6493.584553,19,0.153998149,6283.185307,3141592.654
AB00004178,MILLRISE PHARMACY,9-15 MILLRISE BLVD SW,,CALGARY,587-329-5858,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9205757,-114.076119,1000,7520.667171,12,0.132966927,6283.185307,3141592.654
AB00002940,SAGE PLUS CLINICAL PHARMACY,860 13 ST SE,,CALGARY,587-480-0178,COVID-19,,,,NO,51.04042942,-114.0309414,1000,5225.746717,14,0.191360212,6283.185307,3141592.654
AB00100077,UNIVERSAL HEALTH PHARMACY #11,80-10233 ELBOW DR SW,,CALGARY,403-255-2354,COVID-19,,,,NO,50.96193461,-114.08581,1000,7412.055327,16,0.134915345,6283.185307,3141592.654
AB00002737,SAFEWAY PHARMACY #8918,5607 4 ST NW,,CALGARY,403-730-5080,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.10196272,-114.0719359,1000,8302.033501,11,0.120452417,6283.185307,3141592.654
AB00004211,SHOPPERS DRUG MART #325,198-8060 SILVER SPRINGS BLVD,,CALGARY,403-288-1126,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.11666085,-114.2042534,1000,6241.385152,29,0.160220845,6283.185307,3141592.654
AB00003929,KINSOL PHARMACY,803 1 AVE NE,,CALGARY,587-351-8923,COVID-19,,,,NO,51.05320485,-114.0452994,1000,9212.821798,56,0.108544377,6283.185307,3141592.654
AB00004405,MERIT PHARMACY,11458 BRAESIDE DR SW,,CALGARY,403-255-0049,,RSV,TDAP,PNEUMOCOCCAL,YES,50.95408079,-114.1166915,1000,8776.335346,13,0.113942775,6283.185307,3141592.654
AB00004130,NULIFE PHARMACY,114-10325 BONAVENTURE DR SE,,CALGARY,403-271-8160,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.96051322,-114.0697877,1000,6250.632558,18,0.159983808,6283.185307,3141592.654
AB00100156,UNIVERSAL HEALTH RANCHLANDS PHARMACY #4,137-1829 RANCHLANDS BLVD NW,,CALGARY,403-452-5554,COVID-19,,,,NO,51.12326105,-114.1974946,1000,7949.718336,41,0.12579062,6283.185307,3141592.654
